state_code,state,financial_year,direction,value,signed_value
ACT,Australian Capital Territory,2018-19,Arrivals,3330,3330
ACT,Australian Capital Territory,2018-19,Departures,2380,-2380
ACT,Australian Capital Territory,2019-20,Arrivals,2170,2170
ACT,Australian Capital Territory,2019-20,Departures,3270,-3270
ACT,Australian Capital Territory,2020-21,Arrivals,70,70
ACT,Australian Capital Territory,2020-21,Departures,1920,-1920
ACT,Australian Capital Territory,2021-22,Arrivals,3670,3670
ACT,Australian Capital Territory,2021-22,Departures,750,-750
ACT,Australian Capital Territory,2022-23,Arrivals,5980,5980
ACT,Australian Capital Territory,2022-23,Departures,590,-590
ACT,Australian Capital Territory,2023-24,Arrivals,4330,4330
ACT,Australian Capital Territory,2023-24,Departures,1230,-1230
ACT,Australian Capital Territory,2024-25,Arrivals,3770,3770
ACT,Australian Capital Territory,2024-25,Departures,1710,-1710
