flow_id,source,target,target_name,enrolments,t,x,y
Bangladesh to TAS,Bangladesh,TAS,Tasmania,424,3,1.015,0.97271
Bangladesh to NT,Bangladesh,NT,Northern Territory,471,0,-0.015,0.59753
Bangladesh to NT,Bangladesh,NT,Northern Territory,471,1,0.49999999999999994,0.59753
Bangladesh to NT,Bangladesh,NT,Northern Territory,471,2,0.49999999999999994,0.99811
Bangladesh to NT,Bangladesh,NT,Northern Territory,471,3,1.015,0.99811
Other countries to NSW,Other countries,NSW,New South Wales,82972,0,-0.015,0.68266
Other countries to NSW,Other countries,NSW,New South Wales,82972,1,0.49999999999999994,0.68266
Other countries to NSW,Other countries,NSW,New South Wales,82972,2,0.49999999999999994,0.27916
Other countries to NSW,Other countries,NSW,New South Wales,82972,3,1.015,0.27916
Other countries to VIC,Other countries,VIC,Victoria,67220,0,-0.015,0.80348
Other countries to VIC,Other countries,VIC,Victoria,67220,1,0.49999999999999994,0.80348
Other countries to VIC,Other countries,VIC,Victoria,67220,2,0.49999999999999994,0.57032
Other countries to VIC,Other countries,VIC,Victoria,67220,3,1.015,0.57032
Other countries to QLD,Other countries,QLD,Queensland,44068,0,-0.015,0.893
Other countries to QLD,Other countries,QLD,Queensland,44068,1,0.49999999999999994,0.893
Other countries to QLD,Other countries,QLD,Queensland,44068,2,0.49999999999999994,0.72456
Other countries to QLD,Other countries,QLD,Queensland,44068,3,1.015,0.72456
Other countries to WA,Other countries,WA,Western Australia,26569,0,-0.015,0.94983
Other countries to WA,Other countries,WA,Western Australia,26569,1,0.49999999999999994,0.94983
